barrier,temperature,classical_success_rate,classical_successes,seeds,quantum_peak_awe_dominant
-14.0,0.02,0.0,0,8,0.38952218369620867
-14.0,0.05,0.0,0,8,0.38952218369620867
-14.0,0.1,0.125,1,8,0.38952218369620867
-14.0,0.2,1.0,8,8,0.38952218369620867
-14.0,0.5,1.0,8,8,0.38952218369620867
-14.0,1.0,1.0,8,8,0.38952218369620867
-14.0,1.5,1.0,8,8,0.38952218369620867
-13.0,0.02,0.0,0,8,0.3932234138412418
-13.0,0.05,0.0,0,8,0.3932234138412418
-13.0,0.1,0.125,1,8,0.3932234138412418
-13.0,0.2,1.0,8,8,0.3932234138412418
-13.0,0.5,1.0,8,8,0.3932234138412418
-13.0,1.0,1.0,8,8,0.3932234138412418
-13.0,1.5,1.0,8,8,0.3932234138412418
-12.0,0.02,0.0,0,8,0.39762078264584255
-12.0,0.05,0.0,0,8,0.39762078264584255
-12.0,0.1,0.125,1,8,0.39762078264584255
-12.0,0.2,1.0,8,8,0.39762078264584255
-12.0,0.5,1.0,8,8,0.39762078264584255
-12.0,1.0,1.0,8,8,0.39762078264584255
-12.0,1.5,1.0,8,8,0.39762078264584255
-11.0,0.02,0.0,0,8,0.4025481993714879
-11.0,0.05,0.0,0,8,0.4025481993714879
-11.0,0.1,0.125,1,8,0.4025481993714879
-11.0,0.2,1.0,8,8,0.4025481993714879
-11.0,0.5,1.0,8,8,0.4025481993714879
-11.0,1.0,1.0,8,8,0.4025481993714879
-11.0,1.5,1.0,8,8,0.4025481993714879
-10.0,0.02,0.0,0,8,0.40765712740496685
-10.0,0.05,0.0,0,8,0.40765712740496685
-10.0,0.1,0.125,1,8,0.40765712740496685
-10.0,0.2,1.0,8,8,0.40765712740496685
-10.0,0.5,1.0,8,8,0.40765712740496685
-10.0,1.0,1.0,8,8,0.40765712740496685
-10.0,1.5,1.0,8,8,0.40765712740496685
-9.0,0.02,0.0,0,8,0.41238991196054
-9.0,0.05,0.0,0,8,0.41238991196054
-9.0,0.1,0.25,2,8,0.41238991196054
-9.0,0.2,1.0,8,8,0.41238991196054
-9.0,0.5,1.0,8,8,0.41238991196054
-9.0,1.0,1.0,8,8,0.41238991196054
-9.0,1.5,1.0,8,8,0.41238991196054
-8.0,0.02,0.0,0,8,0.41598075573244125
-8.0,0.05,0.0,0,8,0.41598075573244125
-8.0,0.1,0.25,2,8,0.41598075573244125
-8.0,0.2,1.0,8,8,0.41598075573244125
-8.0,0.5,1.0,8,8,0.41598075573244125
-8.0,1.0,1.0,8,8,0.41598075573244125
-8.0,1.5,1.0,8,8,0.41598075573244125
-7.0,0.02,0.0,0,8,0.4174913322381305
-7.0,0.05,0.0,0,8,0.4174913322381305
-7.0,0.1,0.25,2,8,0.4174913322381305
-7.0,0.2,1.0,8,8,0.4174913322381305
-7.0,0.5,1.0,8,8,0.4174913322381305
-7.0,1.0,1.0,8,8,0.4174913322381305
-7.0,1.5,1.0,8,8,0.4174913322381305
-6.0,0.02,0.0,0,8,0.41588298049095807
-6.0,0.05,0.0,0,8,0.41588298049095807
-6.0,0.1,0.5,4,8,0.41588298049095807
-6.0,0.2,1.0,8,8,0.41588298049095807
-6.0,0.5,1.0,8,8,0.41588298049095807
-6.0,1.0,1.0,8,8,0.41588298049095807
-6.0,1.5,1.0,8,8,0.41588298049095807
