seed,T_cold,classical_final_fear,classical_final_awe,classical_peak_awe,classical_crossed,quantum_peak_awe_dominant,quantum_final_energy,quantum_min_spectral_gap,quantum_gap_step
0,0.02,1.0,0.0,0.0132,False,0.4077,-0.894,0.0089,399
1,0.02,0.9952,0.0,0.0112,False,0.4077,-0.894,0.0089,399
2,0.02,0.991,0.0,0.0136,False,0.4077,-0.894,0.0089,399
3,0.02,1.0,0.0,0.0169,False,0.4077,-0.894,0.0089,399
4,0.02,1.0,0.0,0.0072,False,0.4077,-0.894,0.0089,399
5,0.02,0.9786,0.0,0.01,False,0.4077,-0.894,0.0089,399
6,0.02,0.9845,0.0,0.0209,False,0.4077,-0.894,0.0089,399
7,0.02,1.0,0.0,0.0111,False,0.4077,-0.894,0.0089,399
8,0.02,0.9522,0.0,0.0076,False,0.4077,-0.894,0.0089,399
9,0.02,1.0,0.0,0.0138,False,0.4077,-0.894,0.0089,399
